Rank,User/TeamName,Affiliation/Org,Score
438,"sam","CS 10",850
439,"MyNameJeff","SPSS2019",850
440,"Barnet","dont need to know",850
441,"brettHobbitboy","Craig Kielburger Secondary School",850
442,"EthanRoboto","Craig Kielburger Secondary School Grade 11",850
443,"The Screw Ups","LP2019",850
444,"codingSolo","CanHack2019",800
445,"Penguins","Woburn CI",800
446,"Nalan","Leaside High School",800
447,"Echan","Martingrove Collegiate Institute",800
448,"Brady02","Sisler High School",800
449,"DustyBroom","UCC",751
450,"myteam","SPSS2019",751
451,"Dogfrog Squad","Beamsville District Secondary School",750
452,"lbhook","aaa",750
453,"matt943","Aquinas 305",750
454,"Sans123","Leaside",750
455,"342323797","john polanyi collegiate institute",750
456,"melvo25","John Polanyi Collegiate Institute",750
457,"rmackintosh22","CS 10",750
458,"Gwenpool17","CS 10",750
459,"Hua","Bill Hogarth Secondary School",700
460,"yusufab","SATEC @ WA Porter",700
461,"Fr3nzy","Sandalwood ",700
462,"phamnguyen3103","John Polanyi Collegiate institute",700
463,"AlexYuzpe","CS 10",700
464,"karenrobayo00","John Polanyi Collegiate Institute",700
465,"corv21","J.H Bruns Collegiate",700
466,"Renz","ATC CyberSaints",650
467,"hootingtriangles","Satec @ W A Porter",650
468,"Cheadles","TEJ10 Fall 2019",650
469,"E4237","Honeypot",650
470,"Username12","aew",650
471,"Spectrumism","ATC CyberSaints",600
472,"The Lakers","Listowel District Secondary School",600
473,"innitbruv","Stephen Lewis SS, Mississauga, ON",600
474,"Karanvir","CSC ",600
475,"GODS","John Polanyi Collegiate Institute",600
476,"TrystanA","Craig Kielburger Secondary School Grade 11",600
477,"Doom3434","ATC CyberSaints",550
478,"Xx420xX","Humberview CanHack Grade 10 2019",550
479,"THEFOURCOLONIES ","ATC CyberSaints",550
480,"To set your house in order","Old Scona ",550
481,"van1025","Fletcher's Meadow Secondary School",550
482,"Code 5trikers","LCS-GIRLS",550
483,"www29www","Northern SS",550
484,"saarachaudry","CS 10",550
485,"KoolKid","Sisler High School, Winnipeg, MB",550
486,"MohammadAlharbi","SAC CompEng",550
487,"wdstudent","wiinipeg",550
488,"Critikal","Saint Malachy's Memorial High School",550
489,"904847","CSC ",550
490,"The Kitchen v2","Keswick High School",500
491,"NJAS12","Humberview CanHack 2019",500
492,"Pickle Barrel","LDSS",500
493,"TheVM","ARS Lions",500
494,"The Entities","Leaside",500
495,"jain22","CS 10",500
496,"Sam12345","Aquinas 305",500
497,"Natasha","Keystone Computers",500
498,"xmx0925","Clarkson SS",500
499,"tzak","Marc Garneau CI",450
500,"Daddyelon","Unionville High School",450
501,"WPeace ","Bill Hogarth",450
502,"1trottierjac","CKSS - 2019-2020 - Semester 1 - ICS 4U1",450
503,"qxr","Bayview Secondary School",450
504,"ts6","Sisler Winnipeg MB",450
505,"wangyf97","The University of British Columbia, BC",450
506,"Fordfiesta","Sisler high school",400
